Symbol,Count,Percentage
\frac,60,0.9341429238673516
\sqrt,58,0.9030048264051066
c,51,0.7940214852872489
E,48,0.7473143390938813
\{,40,0.6227619492449011
L,39,0.6071929005137786
\},39,0.6071929005137786
G,39,0.6071929005137786
M,39,0.6071929005137786
[,39,0.6071929005137786
N,39,0.6071929005137786
>,38,0.5916238517826561
P,38,0.5916238517826561
H,38,0.5916238517826561
F,37,0.5760548030515336
\simeq,37,0.5760548030515336
(,36,0.560485754320411
O,36,0.560485754320411
),36,0.560485754320411
],36,0.560485754320411
\sigma,35,0.5449167055892885
\Delta,35,0.5449167055892885
\forall,35,0.5449167055892885
?,34,0.5293476568581659
\Xi,34,0.5293476568581659
K,34,0.5293476568581659
\int,33,0.5137786081270435
\aleph,33,0.5137786081270435
\subsetneq,33,0.5137786081270435
\varpi,33,0.5137786081270435
\Omega,33,0.5137786081270435
\vdots,33,0.5137786081270435
\dot,32,0.4982095593959209
D,32,0.4982095593959209
\Upsilon,32,0.4982095593959209
\|,32,0.4982095593959209
\rightarrow,32,0.4982095593959209
A,32,0.4982095593959209
J,32,0.4982095593959209
\underline,32,0.4982095593959209
i,31,0.48264051066479835
\upsilon,31,0.48264051066479835
\vec,31,0.48264051066479835
3,31,0.48264051066479835
\theta,31,0.48264051066479835
Y,31,0.48264051066479835
\gamma,31,0.48264051066479835
r,31,0.48264051066479835
9,31,0.48264051066479835
\omega,31,0.48264051066479835
\vartheta,31,0.48264051066479835
\exists,31,0.48264051066479835
C,31,0.48264051066479835
4,31,0.48264051066479835
\propto,31,0.48264051066479835
\odot,31,0.48264051066479835
7,31,0.48264051066479835
\Sigma,31,0.48264051066479835
\top,31,0.48264051066479835
\eta,31,0.48264051066479835
\partial,31,0.48264051066479835
\Rightarrow,30,0.4670714619336758
d,30,0.4670714619336758
\oint,30,0.4670714619336758
2,30,0.4670714619336758
\zeta,30,0.4670714619336758
\overline,30,0.4670714619336758
p,30,0.4670714619336758
\ne,30,0.4670714619336758
I,30,0.4670714619336758
\phi,30,0.4670714619336758
\equiv,30,0.4670714619336758
S,30,0.4670714619336758
Z,30,0.4670714619336758
\psi,30,0.4670714619336758
\div,30,0.4670714619336758
\tilde,30,0.4670714619336758
\Pi,30,0.4670714619336758
\tau,30,0.4670714619336758
\sum,30,0.4670714619336758
\hat,30,0.4670714619336758
\emptyset,30,0.4670714619336758
b,30,0.4670714619336758
n,30,0.4670714619336758
1,30,0.4670714619336758
\cdot,30,0.4670714619336758
\mp,30,0.4670714619336758
\bigcap,30,0.4670714619336758
\gg,30,0.4670714619336758
V,30,0.4670714619336758
u,30,0.4670714619336758
<,30,0.4670714619336758
\dagger,30,0.4670714619336758
R,30,0.4670714619336758
\varphi,30,0.4670714619336758
=,30,0.4670714619336758
\Lambda,30,0.4670714619336758
|,30,0.4670714619336758
\mathbb{E},30,0.4670714619336758
\Phi,30,0.4670714619336758
\prime,30,0.4670714619336758
j,30,0.4670714619336758
\rfloor,30,0.4670714619336758
k,30,0.4670714619336758
\hbar,30,0.4670714619336758
8,30,0.4670714619336758
\iint,30,0.4670714619336758
\nu,29,0.4515024132025533
\leftarrow,29,0.4515024132025533
\prod,29,0.4515024132025533
a,29,0.4515024132025533
\iff,29,0.4515024132025533
\rangle,29,0.4515024132025533
\approx,29,0.4515024132025533
W,29,0.4515024132025533
m,29,0.4515024132025533
e,29,0.4515024132025533
\mathbb{Q},29,0.4515024132025533
\epsilon,29,0.4515024132025533
0,29,0.4515024132025533
\#,29,0.4515024132025533
\notin,29,0.4515024132025533
f,29,0.4515024132025533
\chi,29,0.4515024132025533
\%,29,0.4515024132025533
\times,29,0.4515024132025533
-,29,0.4515024132025533
5,29,0.4515024132025533
Q,29,0.4515024132025533
v,29,0.4515024132025533
\langle,29,0.4515024132025533
\mu,29,0.4515024132025533
s,29,0.4515024132025533
x,29,0.4515024132025533
\perp,29,0.4515024132025533
\backslash,29,0.4515024132025533
\ge,29,0.4515024132025533
h,29,0.4515024132025533
\bigcup,29,0.4515024132025533
6,29,0.4515024132025533
\pm,29,0.4515024132025533
U,29,0.4515024132025533
\varsigma,29,0.4515024132025533
\mathbb{I},29,0.4515024132025533
g,28,0.4359333644714308
\lfloor,28,0.4359333644714308
z,28,0.4359333644714308
\kappa,28,0.4359333644714308
\rho,28,0.4359333644714308
+,28,0.4359333644714308
l,28,0.4359333644714308
:,28,0.4359333644714308
X,28,0.4359333644714308
\bullet,28,0.4359333644714308
!,28,0.4359333644714308
\ll,28,0.4359333644714308
\vdash,28,0.4359333644714308
\nabla,28,0.4359333644714308
\lambda,28,0.4359333644714308
w,28,0.4359333644714308
\rceil,28,0.4359333644714308
\mathbb{P},28,0.4359333644714308
\Gamma,28,0.4359333644714308
\Theta,27,0.42036431574030825
\xi,27,0.42036431574030825
t,27,0.42036431574030825
\beta,27,0.42036431574030825
\pi,27,0.42036431574030825
\sim,27,0.42036431574030825
o,27,0.42036431574030825
T,27,0.42036431574030825
",",27,0.42036431574030825
\infty,27,0.42036431574030825
\subset,27,0.42036431574030825
\delta,27,0.42036431574030825
\ominus,26,0.4047952670091858
\oplus,26,0.4047952670091858
\Psi,26,0.4047952670091858
/,26,0.4047952670091858
\alpha,26,0.4047952670091858
\mathbb{F},26,0.4047952670091858
\subseteq,25,0.38922621827806325
*,25,0.38922621827806325
y,25,0.38922621827806325
\circ,25,0.38922621827806325
\iota,25,0.38922621827806325
\mathbb{Z},24,0.37365716954694067
\wedge,24,0.37365716954694067
\mathbb{N},24,0.37365716954694067
\lceil,24,0.37365716954694067
\mapsto,24,0.37365716954694067
q,24,0.37365716954694067
\in,23,0.35808812081581815
\cong,23,0.35808812081581815
\hookrightarrow,23,0.35808812081581815
;,22,0.3425190720846956
\mathbb{C},22,0.3425190720846956
\cup,22,0.3425190720846956
\otimes,22,0.3425190720846956
\Leftrightarrow,22,0.3425190720846956
\bigoplus,21,0.3269500233535731
.,21,0.3269500233535731
\longrightarrow,21,0.3269500233535731
\le,21,0.3269500233535731
\models,20,0.31138097462245057
\mathbb{R},20,0.31138097462245057
\vee,20,0.31138097462245057
B,19,0.29581192589132804
\mathbb{S},19,0.29581192589132804
\leftrightarrow,19,0.29581192589132804
\mathbb{W},18,0.2802428771602055
\cap,18,0.2802428771602055
\angle,17,0.26467382842908294
\bigwedge,16,0.24910477969796044
\rightleftharpoons,14,0.2179666822357154
\ni,13,0.2023976335045929
\triangleq,12,0.18682858477347034
\supset,12,0.18682858477347034
\neg,10,0.15569048731122528
\Vdash,9,0.14012143858010276
\bigvee,9,0.14012143858010276
\supseteq,7,0.1089833411178577
\mathbb{D},5,0.07784524365561264
\mathbb{T},4,0.06227619492449011
\&,3,0.046707146193367584
\mathbb{K},3,0.046707146193367584
\mathbb{X},2,0.031138097462245055
\mathbb{L},1,0.015569048731122527
\mathbb{A},1,0.015569048731122527
