Wall time,Step,Value
1756402074.9519072,19,9.844559826888144e-05
1756402105.0513642,25,0.00012953368423040956
1756402185.700435,41,0.00021243523224256933
1756402195.7659826,43,0.0002227979275630787
1756402210.5915325,46,0.00023834196326788515
1756402265.5509195,57,0.0002953367948066443
1756402342.4924107,72,0.000373057002434507
1756402357.8389158,75,0.00038860103813931346
1756402457.1677911,95,0.0004922279622405767
1756402497.6149487,103,0.0005336787435226142
1756402517.9227512,107,0.0005544041632674634
1756402618.7733753,127,0.0006580310873687267
1756402763.3512368,156,0.0008082901476882398
1756402778.3197582,159,0.0008238342124968767
1756402824.4741595,168,0.0008704663487151265
1756402879.0290725,179,0.00092746113659814
1756402903.3333607,184,0.0009533678530715406
1756402913.264804,186,0.0009637305629439652
1756402938.441418,191,0.0009896373376250267
1756403383.8381746,230,0.0009999909671023488
1756403409.4186194,235,0.0009999882895499468
1756403484.7502425,250,0.0009999785106629133
1756403514.4138203,256,0.0009999737376347184
1756403539.4569018,261,0.000999969313852489
1756403574.7620666,268,0.0009999627945944667
1756403605.1757038,274,0.000999956508167088
1756403700.1626794,293,0.0009999338071793318
1756403779.3449347,309,0.0009999108733609319
1756403789.6930046,311,0.0009999077301472425
1756403830.5121675,319,0.0009998948080465198
1756403889.8863294,331,0.000999873853288591
1756403936.478019,340,0.0009998568566516042
1756403976.5863035,348,0.0009998409077525139
1756404055.9411995,364,0.0009998063324019313
1756404076.028267,368,0.000999797135591507
1756404600.7858808,422,0.0009996526641771197
1756404605.6639717,423,0.0009996496373787522
1756404690.8169339,440,0.00099959596991539
1756404705.8353698,443,0.0009995860746130347
1756404720.602509,446,0.0009995760628953576
1756404795.9475875,461,0.0009995242580771446
1756404811.4590478,464,0.0009995135478675365
1756404816.6500611,465,0.0009995100554078817
1756404867.3424015,475,0.0009994732681661844
1756404953.6971257,492,0.0009994079591706395
1756404963.5424669,494,0.0009993999265134335
1756405068.6190846,515,0.0009993133135139942
1756405152.6353438,532,0.0009992389241233468
1756405177.5088696,537,0.0009992163395509124
1756405313.7331238,564,0.0009990885155275464
1756405363.4364316,574,0.0009990388061851263
1756405646.803023,580,0.0009990083053708076
1756405682.1346614,587,0.0009989721002057195
1756405687.3164117,588,0.0009989668615162373
1756405761.715343,603,0.0009988868841901422
1756405851.82891,621,0.0009987871162593365
1756405861.7726147,623,0.0009987757075577974
1756405922.0463347,635,0.0009987064404413104
1756405957.781709,642,0.0009986652294173837
1756405962.7750397,643,0.0009986591758206487
1756405972.6259487,645,0.0009986473014578223
1756405987.467477,648,0.0009986292570829391
1756405997.8087096,650,0.0009986171498894691
1756406058.4824297,662,0.0009985436918213964
1756406109.3688755,672,0.0009984809439629316
1756406194.291056,689,0.0009983712807297707
1756406325.3001907,715,0.0009981960756704211
1756406345.0808961,719,0.0009981683688238263
1756406364.6147563,723,0.0009981404291465878
1756406369.5734262,724,0.0009981334442272782
1756406404.4525394,731,0.0009980839677155018
1756406449.277787,740,0.0009980193572118878
1756406469.1001472,744,0.000997990253381431
1756406488.8132873,748,0.0009979610331356525
1756406514.0101342,753,0.0009979241294786334
1756406534.0491028,757,0.0009978944435715675
1756406580.0709736,766,0.0009978266898542643
1756406600.8016934,770,0.0009977963054552674
1756406607.2008746,772,0.0009977809386327863
1756406877.9921718,774,0.000997765688225627
1756406913.1173892,781,0.0009977115551009774
1756406937.7154388,786,0.0009976724395528436
1756406947.9454145,788,0.000997656723484397
1756406973.4940252,793,0.0009976172586902976
1756406983.3606136,795,0.0009976013097912073
1756407002.680443,799,0.0009975694119930267
1756407022.2347107,803,0.0009975371649488807
1756407052.3258371,809,0.000997488503344357
1756407057.607005,810,0.0009974803542718291
1756407173.2540715,833,0.0009972892003133893
1756407193.1495867,837,0.0009972553234547377
1756407357.4912817,870,0.0009969670791178942
1756407392.1658247,877,0.0009969040984287858
1756407421.819989,883,0.0009968496160581708
